Time,Passenger_Vehicle_xctr,Passenger_Vehicle_yctr,Passenger_Vehicle_zctr,Passenger_Vehicle_xlen,Passenger_Vehicle_ylen,Passenger_Vehicle_zlen,Passenger_Vehicle_xrot,Passenger_Vehicle_yrot,Passenger_Vehicle_zrot,Passenger_Vehicle_xctr,Passenger_Vehicle_yctr,Passenger_Vehicle_zctr,Passenger_Vehicle_xlen,Passenger_Vehicle_ylen,Passenger_Vehicle_zlen,Passenger_Vehicle_xrot,Passenger_Vehicle_yrot,Passenger_Vehicle_zrot,VRU_Child_xctr,VRU_Child_yctr,VRU_Child_zctr,VRU_Child_xlen,VRU_Child_ylen,VRU_Child_zlen,VRU_Child_xrot,VRU_Child_yrot,VRU_Child_zrot,VRU_Adult_Using_Manual_Scooter_xctr,VRU_Adult_Using_Manual_Scooter_yctr,VRU_Adult_Using_Manual_Scooter_zctr,VRU_Adult_Using_Manual_Scooter_xlen,VRU_Adult_Using_Manual_Scooter_ylen,VRU_Adult_Using_Manual_Scooter_zlen,VRU_Adult_Using_Manual_Scooter_xrot,VRU_Adult_Using_Manual_Scooter_yrot,VRU_Adult_Using_Manual_Scooter_zrot
1700412320.225599,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.398626155,-5.400032911,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.325801,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.40595285,-5.399187522,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.425991,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.413279545,-5.398342133,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.526187,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.420606241,-5.397496744,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.626388,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.427932936,-5.396651355,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.726581,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.435259631,-5.395805966,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.826777,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.442586326,-5.394960577,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412320.926972,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.449913022,-5.394115188,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.027171,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.457239717,-5.3932698,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.127369,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.464566412,-5.392424411,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.227563,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.471893107,-5.391579022,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.32776,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.479219803,-5.390733633,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.427959,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.486546498,-5.389888244,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.528152,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.493873193,-5.389042855,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.628348,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.501199888,-5.388197466,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.728546,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.828741,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412321.92894,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.029137,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.129346,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.229533,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.329726,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.429938,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.530118,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.63032,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.730511,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.830709,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412322.930908,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.031117,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.131965,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.232143,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.332139,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.432137,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.532131,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.632785,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.732973,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.832845,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
1700412323.933206,,,,,,,,,,,,,,,,,,,10.18438059,-2.217070417,-4.233865911,0.708241659,0.766924837,0.918802868,0,0,159.4439772,-7.508526583,-5.387352077,-3.986071348,1.06126788,1.021140232,1.297472477,0,0,263.4180478
